CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DATE
L30,Pelawatta,"VWRH+C5X, Sri Jayawardenepura Kotte",6.8867616,79.9187142,Laugfs,2/24/2025
L31,Pepiliyana,"No: 68 Pepiliyana Rd, Nugegoda",6.8524937,79.8837249,Laugfs,2/24/2025
L32,Pitakotte,"No.338 Kotte Rd, Sri Jayawardenepura Kotte 10100",6.8831833,79.9020606,Laugfs,2/24/2025
L33,Raddolugama,"4VQX+5WV, Katunayake",7.1724849,79.8853484,Laugfs,2/24/2025
L34,Rajagiriya,"1070 Sri Jayawardenepura Mawatha, Sri Jayawardenepura Kotte 10100",6.907645,79.9006437,Laugfs,2/24/2025
L35,Rathmalana,"Gonaakowila S weerasena silva rd, ratmalana 5A, S Weerasena silva mw",6.8063535,79.8751694,Laugfs,2/24/2025
L36,Seeduwa,"4VJG+CJ5, Negombo",7.2055208,79.8512562,Laugfs,2/24/2025
L37,Wattala,"No .08 Hendala Rd, Wattala 11300",6.9911061,79.892666,Laugfs,2/24/2025
L38,Wellawatta,"351 Galle Rd, Colombo 00600",6.8714624,79.8623047,Laugfs,2/24/2025
L39,Werahera,"RWG5+36R, Boralesgamuwa 10290",6.823355,79.9090246,Laugfs,2/24/2025
14001,DELKANDA,"Nugegoda Delkanda Apartment, High Level Rd, Nugegoda 10250",6.8395786,79.9767117,Softlogic Supermarket,2/24/2025
14003,ASIRI CENTRAL,"3rd Place, Asiri Central Hospital, 01000",6.9205009,79.8658211,Softlogic Supermarket,2/24/2025
14004,ASIRI KANDY,Softlogic GLOMARK Essentials - Peradaniya,7.2742831,80.6113119,Softlogic Supermarket,2/24/2025
14005,KURUNEGALA,"75 Colombo Road, Kurunegala",7.1459024,79.9329269,Softlogic Supermarket,2/24/2025
14006,KOTTAWA,"1285 High Level Rd, Pannipitiya",6.8391875,79.9789795,Softlogic Supermarket,2/24/2025
14007,NEGOMBO,"180 St Joseph's St, Negombo 11500",7.2058874,79.8477143,Softlogic Supermarket,2/24/2025
14008,NAWALA,"268 Nawala Rd, Sri Jayawardenepura Kotte 10100",6.8886772,79.8876034,Softlogic Supermarket,2/24/2025
14009,MOUNT - LAVINIA,"282 Galle Rd, Dehiwala-Mount Lavinia 10370",6.8307062,79.867871,Softlogic Supermarket,2/24/2025
14010,MALABE,"604 Athurugiriya Rd, Malabe 10115",6.9027371,79.9558314,Softlogic Supermarket,2/24/2025
14011,CR FC,"28 Malalasekara Mawatha, Colombo 00700",6.9003227,79.8727556,Softlogic Supermarket,2/24/2025
14012,THALAWATHUGODA,"559/551, Pelawatte Road, 6 Battaramulla - Pannipitiya Rd, Battaramulla 10120",6.9013507,79.920191,Softlogic Supermarket,2/24/2025
14013,KANDANA,"135 Negombo Road, Rilaulla, Kandana",7.057451,79.8969114,Softlogic Supermarket,2/24/2025
14014,KANDY - MCC,"ODEL Mall, Kandy",7.2858279,80.6264265,Softlogic Supermarket,2/24/2025
14015,WATTALA,"XVVR+GV9, Wattala 11300",6.9860132,79.9070156,Softlogic Supermarket,2/24/2025
A01,Wattala SC,"155 Old Negombo Rd, Wattala 11300",6.9887275,79.893009,Arpico,2/24/2025
A02,Borelasgamuwa SS,"RWR3+C24, Boralesgamuwa",6.8409891,79.9017187,Arpico,2/24/2025
A03,Hyde Park SC,"2, 69 Hyde Park Corner, Colombo 00200",6.9174416,79.8601314,Arpico,2/24/2025
A04,Nawinna SC,"310 High Level Rd, Maharagama 10280",6.8529935,79.916691,Arpico,2/24/2025
A05,Matara SC,"WGVF+V7H, A2 Matara Road, Matara",5.942419,80.5148761,Arpico,2/24/2025
A06,Panadura SC,"542 Galle Rd, Panadura",6.7843722,79.8844947,Arpico,2/24/2025
A07,Kottawa SS,"296 Avissawella Rd, Pannipitiya",6.8396269,79.9704829,Arpico,2/24/2025
A08,Galle SC,"181 Matara Rd, Galle",6.0371021,80.2301069,Arpico,2/24/2025
A09,Malabe SS,"No. 741, Malabe",6.9060787,79.9696277,Arpico,2/24/2025
A10,Kurunegala SC,"F9G4+XXF, 3 à·€à¶± à¶´à¶§à·”à¶¸à¶œ, Kurunegala",7.4817695,80.3608876,Arpico,2/24/2025
A11,Kohuwala SC,"S, 89 S. De S. Jayasinghe Mawatha, Dehiwala-Mount Lavinia",6.8668379,79.8835653,Arpico,2/24/2025
A12,Homagama SC,"47 Avissawella Rd, Homagama 10200",6.8415868,80.0038446,Arpico,2/24/2025
A13,Yakkala SS,"32MH+6XF, Yakkala",7.0864153,80.0335107,Arpico,2/24/2025
A14,Kegalle SC,"783R+FH7 Arpico super center, Kegalle",7.2536707,80.3414294,Arpico,2/24/2025
A15,Thalawathugoda SC,"junction, 1034/V, Kumarage watta, Battaramulla - Pannipitiya Rd, Sri Jayawardenepura Kotte",6.8948714,79.9245846,Arpico,2/24/2025
A16,Wattala-2 ADA,"Gemunu Palace Cinema, Near, Negombo - Colombo Main Rd, Wattala 11300",6.9876452,79.8906164,Arpico,2/24/2025
A17,Kochchikade SC,"7V97+P4M, Negombo",7.2055208,79.8512562,Arpico,2/24/2025
A18,Kundasale SS,"7MJF+2X3, Nattarampota 20168",7.2808949,80.675692,Arpico,2/24/2025
A19,Katugastota SC,"Nittawela Junction Bus Stop, Katugastota Rd, Kandy",7.3140482,80.6320582,Arpico,2/24/2025
A20,Minuwangoda SC,"5WCV+M93, Katunayake Road, Minuwangoda",7.1958851,79.8734317,Arpico,2/24/2025
A21,Katukurunda SC,Katukurunda 12000,6.549971,79.9836108,Arpico,2/24/2025
A22,Seeduwa SC,"No: 600 Negombo Rd, Seeduwa 11410",7.1485497,79.8731572,Arpico,2/24/2025
A23,Kiribathgoda SS,"123 Kandy Rd, Kelaniya 11600",6.9759938,79.9253403,Arpico,2/24/2025
A24,Ragama Daily,Arpico Daily - Ragama,7.0274426,79.924997,Arpico,2/24/2025
A25,Athurugiriya Daily,112 Athurugiriya Rd,6.8784063,79.9886906,Arpico,2/24/2025
A26,Weliweriya Daily,"132/24 B New Kandy Rd, Weliweriya",7.0326711,80.0277482,Arpico,2/24/2025
A27,Kuliyapitiya Daily,"F2FW+926, Kuliyapitiya",7.472123,80.0446221,Arpico,2/24/2025
A28,Ambalangoda Daily,"63M3+5RF, Ambalangoda",6.2441521,80.0590804,Arpico,2/24/2025
A29,Wennapuwa Daily,"8RXQ+WCG, Peragas Junction, Road,, Wennappuwa",7.3493037,79.8352767,Arpico,2/24/2025
A30,Aththiditya Daily,"RVMP+76X, B389, Dehiwala-Mount Lavinia",6.8439531,79.8847187,Arpico,2/24/2025
A31,Kandana Daily,"88 Negombo Rd, Kandana",7.0513293,79.896463,Arpico,2/24/2025
A32,Mulleriyawa Daily,"WWGM+Q8M, Colombo",6.9270786,79.861243,Arpico,2/24/2025
A33,Chilaw Daily,"HQGX+H9P, Chilaw",7.5619894,79.8016569,Arpico,2/24/2025
A34,Ambatenna Daily,"48 Matale Rd, Ambatenna",7.3480977,80.6166705,Arpico,2/24/2025
A35,Watareka Daily,"Avissawella Rd, Padukka",6.8584121,80.0911024,Arpico,2/24/2025
A36,Rathnapura Main Arpico Daily,Arpico Daily - Ratnapura,6.6791867,80.405043,Arpico,2/24/2025
A37,Anuradhapura Arpico Daily,"Anuradhapura, Sri Lanka",8.3113518,80.4036508,Arpico,2/24/2025
A38,Pelmadulla Arpico Daily,"Pelmadulla Division, Ratnapura, Sri Lanka",6.7055742,80.3847345,Arpico,2/24/2025
A39,Battaramulla,Battaramulla,6.8979941,79.9222869,Arpico,2/24/2025
A40,Arpico SuperCentre Dehiwala,"Arpico SuperCentre, Dehiwala",6.846739,79.8662806,Arpico,2/24/2025
A41,Arpico SuperCentre Gampaha,"Arpico SuperCentre, Gampaha",7.091704,79.99962,Arpico,2/24/2025
A42,Arpico SuperCentre Wellawatte,"Arpico SuperCentre, Wellawatte",6.8740921,79.8604934,Arpico,2/24/2025
A43,Arpico SuperCentre Negombo,"Arpico SuperCentre, Negombo",7.207204,79.843088,Arpico,2/24/2025
A44,Arpico SuperCentre Kandy,"Arpico SuperCentre, Kandy",7.2808433,80.6204147,Arpico,2/24/2025
A45,Arpico SuperCentre Piliyandala,"Arpico SuperCentre, Piliyandala",6.7985816,79.9297499,Arpico,2/24/2025
A46,Arpico SuperCentre Kalutara,"Arpico SuperCentre, Kalutara",6.5587753,79.9685209,Arpico,2/24/2025
A47,Arpico SuperCentre Gelioya,"Arpico SuperCentre, Gelioya",7.2153151,80.5979973,Arpico,2/24/2025
A48,Arpico SuperCentre Haloluwa,"Arpico SuperCentre, Haloluwa",7.2808433,80.6204147,Arpico,2/24/2025
1017,FC STAPLES STREET,"21,  Staples  Street,  Colombo  02",6.9201983,79.855668,Cargills,2/24/2025
1018,FC KANDY,"3 ,  Dalada  Veedia ,  Kandy .",7.2931101,80.6358952,Cargills,2/24/2025
1033,FC MAJESTIC CITY,"Majestic  City  ,  10 , Station Road , Colombo  04",6.8934945,79.8544367,Cargills,2/24/2025
1015,FC BANDARAWELA,"7 , Welimada  Road ,  Bandarawella",6.8311676,80.9887048,Cargills,2/24/2025
1020,FC NUWARA ELIYA,"90 , Kandy  Road ,  Nuwaraeliya .",7.2310915,80.2450189,Cargills,2/24/2025
1005,FC FORT,"40 , York Street ,  Fort ,  Colombo  01",6.9378136,79.8436796,Cargills,2/24/2025
1076,FC KURUNEGALA,"44 , Negombo  Road , Kurunegala .",7.4853801,80.3557181,Cargills,2/24/2025
1083,FC MATARA,"60 , Anagarika Dharmapala Mw , Matara .",5.9468144,80.5316171,Cargills,2/24/2025
1084,FC WATTALA,"315 , Negombo  Road , Wattala .",6.9887181,79.8913253,Cargills,2/24/2025
1106,FC DEHIWALA,"65 A ,  Galle  Road , Dehiwala .",6.8512992,79.865918,Cargills,2/24/2025
1104,FC RATNAPURA,"Municipal Commercial Complex ,Old Bus Stand Site,Nagarasaba Pedesa, Ratnapura",6.7055742,80.3847345,Cargills,2/24/2025
1105,FC COLPETTY,"407 , Galle  Road , Colpetty .",6.9097726,79.8501472,Cargills,2/24/2025
1107,EX THIMBIRIGASYAYA,"90 , Thimbirigasyaya   Road , Colombo 05",6.8936437,79.8704269,Cargills,2/24/2025
1201,EX MATARA,"No. 1,  Bus Stand Site, Matara",5.9440938,80.5492705,Cargills,2/24/2025
1301,EX MALIGAWATTE,"301, Pradeepa Mawatha, Colombo 10",6.9347204,79.8685915,Cargills,2/24/2025
1111,FC KEGALLE,"447 / 2 , Kandy  Road , Kegalla .",7.2532238,80.3454101,Cargills,2/24/2025
1114,FC ALUTHGAMA,"303 , Main  Street , Aluthgama .",6.4345732,80.0003875,Cargills,2/24/2025
1108,FC KOTAHENA,"108 , George R. de Silva  Mw , Kotahena .",6.9477493,79.8613645,Cargills,2/24/2025
1117,FC AMBALANGODA,"98 A , New Road , Ambalangoda .",6.2441521,80.0590804,Cargills,2/24/2025
1109,FC PARK ROAD,"213 , Park  Road , Off Elvitigala Mw , Colombo 05",6.8932435,79.8769808,Cargills,2/24/2025
1115,FC BERUWELA,"162 ,  Galle  Road , Beruwela .",6.4730375,79.984256,Cargills,2/24/2025
1113,FC KATUGASTOTA,"271 A , Katugastota  Road , Kandy .",7.3140482,80.6320582,Cargills,2/24/2025
1133,FC WARAKAPOLA,"97 , Kandy  Road , Warakapola",7.2281664,80.2003495,Cargills,2/24/2025
1303,EX ALEXANDRA PLACE,"75, C.W.W. Kannangara Mw. Colombo 7",6.9113706,79.8649632,Cargills,2/24/2025
1124,FC MATALE,"99 A , King  Street , Mathale",7.4718714,80.6227811,Cargills,2/24/2025
1305,EX HAVELOCK ROAD,"323, Havelock Rd. Coombo 6",6.8822655,79.8694338,Cargills,2/24/2025
1116,FC AVISSAWELLA,"91 ,  Ratnapura  Road , Avissawella .",6.9336083,80.2166177,Cargills,2/24/2025
1121,FC GALLE,"24 & 26 ,  Gamini  Mawatha , Galle .",6.0331557,80.2155487,Cargills,2/24/2025
1130,FC MOUNT LAVINIA STC,"270 , Galle  Road , Mount Lavinia .S.T.C",6.8647757,79.8632349,Cargills,2/24/2025
1138,FC EMBILIPITIYA,"51 , Nonagama   Road , Embilipitiya .",6.3162324,80.8433145,Cargills,2/24/2025
1120,FC ANURADHAPURA,"248 , Main street , Anuradhapura .",8.3259528,80.4053739,Cargills,2/24/2025
1137,FC MUTUWAL,"54 /1 , Centre  Road, Mattakkuliya .",6.9716722,79.8786833,Cargills,2/24/2025
1308,EX BAMBALAPITIYA,"762, Galle Rd. Colombo 4",6.8948345,79.8548386,Cargills,2/24/2025
1139,FC BALANGODA,"157 , Old Road , Balangoda .",6.6668611,80.7048084,Cargills,2/24/2025
1145,FC MARADANA,"585 , Maradana  Road , Maradana .",6.9327217,79.8601565,Cargills,2/24/2025
1125,FC BADULLA,"18 , Dharmadutha Road, Badulla .",6.9879857,81.0595008,Cargills,2/24/2025
1146,FC VAVUNIYA,"137, Kandy Road , Vauniya .",8.7497702,80.4965416,Cargills,2/24/2025
1157,FC PILIMATALAWA,"178, Colombo Road , Pilimathalawa.",7.265568,80.5558208,Cargills,2/24/2025
1158,FC DAMBULLA,"643, Anuradhapura Road,  Dambulla",8.3062062,80.4506242,Cargills,2/24/2025
1159,FC AKURANA,"281, Matale Road , Akurana.",7.369052,80.617385,Cargills,2/24/2025
1150,FC HAMBANTOTA,"Thissa Road,  Hambanthota.",6.364285,81.3199063,Cargills,2/24/2025
1164,FC HATTON,"171, Dimbulla Road  ,  Hatton.",6.8941965,80.5958179,Cargills,2/24/2025
1170,FC KUNDASALE,"Bamunupola Watta,  Kundasale.",7.3654715,80.6042434,Cargills,2/24/2025
1169,FC TANGALLE,"No.4,Mahawela Rd,  Tangalle.",6.0243383,80.7940726,Cargills,2/24/2025
1187,FC KARAPITIYA,"Namal Traders, Karapitiya.",6.0705817,80.2251603,Cargills,2/24/2025
1186,FC EHELIYAGODA,"No.44, Main Street , Eheliyagoda",6.8485638,80.26001,Cargills,2/24/2025
1188,FC GAMPOLA,"No.8/8, Nawalapitiya Road, Gampola.",7.104633,80.5587562,Cargills,2/24/2025
1316,EX TRINCOMALEE,Linganagar Service station (MPCS),8.5768576,81.2098826,Cargills,2/24/2025
1199,FC MAWANELLA,"No.22/C ,Kandy Road   Mawanella.",7.2535678,80.4476284,Cargills,2/24/2025
1162,FC TRINCOMALEE,"No.190, Thirugnanasampanthan Street, Trincomalee.",8.5873638,81.2152121,Cargills,2/24/2025
1278,FC KULIYAPITIYA,"No. 183 , Hettipola Road , Kuliyapitiya",7.4755064,80.0449386,Cargills,2/24/2025
1279,FC BANDARAGAMA,"No. 51 , Panadura Road , Bandaragama .",6.7117325,79.9861412,Cargills,2/24/2025
1281,FC PANNALA,"No. 33, Kuliyapitiya Road,  Pannala.",7.3323183,80.0278438,Cargills,2/24/2025
1288,FC BATTICALOA,"No. 67, St. Anthonys Street,  Batticaloa",7.7141071,81.6961912,Cargills,2/24/2025
1286,FC DHARGA TOWN,"No. 321/3,  Main Street,  Dhargatown",6.4447452,80.0168602,Cargills,2/24/2025
1289,FC NAWALAPITIYA,"No. 51, Gampola Road,  Nawalapitiya.",7.115337,80.5253366,Cargills,2/24/2025
1294,FC AMPARA,"Reegal Cinama ,  Nidahas Mawatha , Ampara.",7.3017563,81.6747295,Cargills,2/24/2025
1291,FC DICKMANS ROAD,"No. 15, Dickmans Road , Bambalapitiya.",6.8871751,79.8611189,Cargills,2/24/2025
1292,FC GRANDPASS,"No. 130/C,  Layards Broadway,  Granpass,  Colombo  14.",6.9511189,79.8740747,Cargills,2/24/2025
1297,FC MONERAGALA,"No. 105, Wellawaya Road,  Monaragala",6.8716513,81.3512451,Cargills,2/24/2025
1298,FC IPALOGAMA,"Ranajayapura, Ipalogama.",8.0720588,80.5480118,Cargills,2/24/2025
1412,FC PALMADULLA,"No.115, Rathnapura road, Pelmadulla.",6.8791262,80.2429977,Cargills,2/24/2025
1419,FC JAWATTA,"No 60, Jawatta Road, Thimbirigasyaya.",6.8965079,79.8668162,Cargills,2/24/2025
1411,FC DUPLICATION,"No. 450 E, R A De Mel Mawatha, Colombo 03",6.8960251,79.8568022,Cargills,2/24/2025
1422,FC MANIPPAY,"No. 120 Jaffna Road, Manipay.",9.694305,80.0155851,Cargills,2/24/2025
1432,FC KANNATHTHIDI,"No. 54, Kannathiddy Road, Jaffna",9.6710661,80.0132714,Cargills,2/24/2025
1425,FC AKKARAIPATHTHU,"No.143/B 1, Kalmunai road, Akkaraipattru.",7.2268544,81.8505496,Cargills,2/24/2025
1424,FC KALMUNEI,No. 1034/1 Kalmunai 14,7.4143831,81.8306334,Cargills,2/24/2025
1433,FC NORRIS CANAL,"No. 25,   Norris Canal Road , Colombo 10",6.9210399,79.8659874,Cargills,2/24/2025
1323,EX TRILLIUM RESIDENCE,"No. 153, Elvitigala Mawatha, Colombo 08",6.8932435,79.8769808,Cargills,2/24/2025
1428,FC WARIYAPOLA,"No. 107, Kurunegala Road, Wariyapola.",7.7296916,80.2426915,Cargills,2/24/2025
1321,EX KURUWITA,"No 96, Main Road, Kuruwita,",6.8218403,80.3615079,Cargills,2/24/2025
1322,EX RUWANWELLA,"No.114, Main Street, Ruwanwella.",7.0839701,80.2724581,Cargills,2/24/2025
1319,EX DIGANA,"Methsiripaya, New Town, Rajawella, Digana.",7.2963549,80.7301035,Cargills,2/24/2025
1434,FC KADURUWELLA,"No. 896, Batticaloa Road, Kaduruwela",7.9286977,81.0340589,Cargills,2/24/2025
1431,FC KILINOCHCHI,"No. 7-10 Anthoneypillai Building, Karadibokku, Kilinochchi.",9.3802886,80.3769999,Cargills,2/24/2025
1327,EX SUWARAPOLA,"No. 428, Moratuwa Rd, Suwarapola, Piliyandala.",6.7978742,79.9178709,Cargills,2/24/2025
1326,EX KOTIYAKUBURA,"No. 146, Ruwanwella Road, Kotiyakumbura.",7.1541811,80.2268267,Cargills,2/24/2025
1420,FC MANCHANTHODUWAI,"No. 488 New Kalmunai Road, Manchanthoduwaii",7.7212716,81.7035739,Cargills,2/24/2025
1435,FC WELIMADA,"No. 11 Boralanda Road, Welimada",6.8941143,80.8703383,Cargills,2/24/2025
1429,FC BATTICALOA 02,"No.03, Gnanasooriyam Square, Trinco Road, Batticaloa.",7.7166032,81.6988923,Cargills,2/24/2025
1331,EX BENTOTA,"No. 118, Pahurumulla, Galle Road, Bentota",6.4255312,79.997709,Cargills,2/24/2025
1430,FC GALEWELA,"No. 210, Kalawewa Junction, Galewala",7.7597527,80.5709748,Cargills,2/24/2025
1443,FC PUTTALUM,"No. 97B, Kurunagala Road, Puttalam.",7.3595985,80.3066891,Cargills,2/24/2025
1439,FC POTHUVIL,"Kaleej Front BuildingÃ¢â‚¬Â, Main Street, Pothuvil.",6.8752706,81.8306334,Cargills,2/24/2025
1446,FC WARD PLACE,"No. 48, Ward Place, Colombo-07",6.9159834,79.8712711,Cargills,2/24/2025
1448,FC ERAVUR,"No. 42,44, Main street, Eravur",7.7768972,81.6042028,Cargills,2/24/2025
1341,EX MELSIRIPURA,"Cargills Food City Express, Dambulla Road , Melsiripura",7.6437182,80.5098697,Cargills,2/24/2025
1342,EX NELLIYADI,"No.163, Jaffna Road, Nelliyady.",9.7980091,80.1779516,Cargills,2/24/2025
1453,FC SAMANTHURAI,"No. 32/2, Ampara Road,Viliniyady Junction,Sammanthurai.",7.3574841,81.7951054,Cargills,2/24/2025
1343,EX BELIATTA,"No. 52, Tangalle Road, Beliatta",5.9616998,80.6762828,Cargills,2/24/2025
1457,FC THISSAMAHARAMA,"No. 142, Hambantota Road, Thissamaharama",6.1183591,81.0697335,Cargills,2/24/2025
1339,EX MIDDENIYA,"Liyanage Building, Weeraketiya Road, Middeniya.",6.2456851,80.7655493,Cargills,2/24/2025
1335,EX GALGAMUWA,"No. 37, Anuradhapura Road, Galgamuwa",8.0008752,80.2712436,Cargills,2/24/2025
1338,EX MALWANA,"No.52/10/A Main Street, Malwana",6.947975,80.0145596,Cargills,2/24/2025
1455,FC CHUNNAKAM,"No. 91, K. K. S. Road, Chunnakam.",9.7396885,80.0249328,Cargills,2/24/2025
1350,EX MATALE ROSE ST,"No. 1/15, Rose Street,Matale.",7.4709888,80.623498,Cargills,2/24/2025
1324,EX ALAWWA,"No. 151, Giriulla Road,Alawwa.",7.2467402,80.1290871,Cargills,2/24/2025
1352,EX SOUTHERN HIGHWAY A,"Cargills Food City Express A ,Canowin Arcade ,Welipenna Rest area.",6.4683752,80.0795258,Cargills,2/24/2025
1353,EX SOUTHERN HIGHWAY B,"Cargills Food City Express B,Canowin Arcade,Welipenna Rest area.",6.4683752,80.0795258,Cargills,2/24/2025
1464,FC PALLEKELE,"No. 396, Digana Road, Pallekele",7.294184,80.7380716,Cargills,2/24/2025
1155,FC AMBALANTHOTA,"No 129, Jayantha Building, Tangalle Road, Ambalantota.",6.1258545,81.110808,Cargills,2/24/2025
1444,FC GALLE 02,"No. 10/8, Wakwella Road, Galle",6.0592101,80.2035612,Cargills,2/24/2025
1349,EX KARANDENIYA,"No.343, MAHAHENDHANDA, KARANDENIYA",6.2683217,80.0898085,Cargills,2/24/2025
1460,FC KATUGASTOTA2,"No. 452, Katugastota road, kandy",7.3140482,80.6320582,Cargills,2/24/2025
1355,EX ERIYAGAMA,"No.180, Colombo road, Eiryagama.",6.9077747,80.0735071,Cargills,2/24/2025
1466,FC AMBALANGODA2,"No. 37, New Road, Ambalangoda.",6.2441521,80.0590804,Cargills,2/24/2025
1364,EX DEANS ROAD,"No. 153, Deans Road,Colombo 10",6.9221167,79.8645627,Cargills,2/24/2025
1375,EX BUTTALA,"No. 36, Monaragala Road,Buttala.",6.8949078,81.256118,Cargills,2/24/2025
1459,FC AKURESSA,"No.83 Matara Road,Akuressa",5.9682934,80.3722812,Cargills,2/24/2025
1467,FC GATAMBE,"No.496, Gatambe, Peradeniya.",7.271285,80.5979973,Cargills,2/24/2025
1379,EX GINIGATHHENA,"No.120/1 ,Nawalapitiya Road,Ginigathhena",7.104633,80.5587562,Cargills,2/24/2025
1357,EX AMPITIYA,"No. 63 Kandy Road,Ampitiya.",7.2922664,80.6320435,Cargills,2/24/2025
1469,FC WELIGAMA,"No. 454,Old Galle Road,Weligama.",5.9773782,80.4288487,Cargills,2/24/2025
1370,EX HIKKADUWA,"No. 162 Galle Road,Hikkaduwa",6.1431515,80.0996329,Cargills,2/24/2025
1372,EX DERANIYAGALA,"No. 58, Dehiowita Road,Deraniyagala",6.9349198,80.3380213,Cargills,2/24/2025
1366,EX HABARADUWA,"Dassana Building,Galle Road,Habaraduwa.",6.0162218,80.2488766,Cargills,2/24/2025
1381,EX HABARANA,"No. 72,Trincomalee  Road,Habarana.",8.0322147,80.7519272,Cargills,2/24/2025
1371,EX WATTEGAMA,"No. 31, Matale Road, Wattegama",7.3733183,80.6179237,Cargills,2/24/2025
1148,FC JAFFNA,"No.420, Hospital Road,Jaffna.",9.6674379,80.0086118,Cargills,2/24/2025
1471,FC COTA ROAD,"No. 260, N.M Perera Mawatha, Cota Road, Colombo 08",6.913648,79.8827858,Cargills,2/24/2025
1377,EX IBBAGAMUWA,"No. 5, Dambulla Road, Ibbagamuwa.",7.5527812,80.4533202,Cargills,2/24/2025
1470,FC WELLAWAYA,"No. 32 Hambanthota Road,Wellawaya.",6.7377356,81.1030573,Cargills,2/24/2025
1368,EX GODAKAWELA,"Main Street, Godakawela.",6.504906,80.6521139,Cargills,2/24/2025
1383,EX MADAWACHCHIYA,"No. 102, Jaffna Road,Medawachchiya.",8.54356,80.4907385,Cargills,2/24/2025
1360,EX GELIOYA,"No,35/D, Peradeniya Road,Gelioya.",7.2816136,80.6209311,Cargills,2/24/2025
1386,EX RAMBUKKANA,"No 57, Mawanella Road,Rambukkana.",7.3300102,80.4111999,Cargills,2/24/2025
1385,EX DENIYAYA,No. 04 Pallegama Road Deniyaya.,6.3159694,80.5171662,Cargills,2/24/2025
1475,FC MATHUGAMA,"No. 93, Kalutara Road,Mathugama",6.5241762,80.0862699,Cargills,2/24/2025
1387,EX KATUGODA,"No. 1/389, Matara Road,Katugoda, Galle",6.0349155,80.2397989,Cargills,2/24/2025
1484,FC MARINE CITY,"No 46, Station Road,Dehiwala.",6.8510046,79.8640998,Cargills,2/24/2025
1481,FC MATALE2,"No. 666,Trincomalee street,Matale",7.2978569,80.637207,Cargills,2/24/2025
1394,EX GALAGEDARA,"No. 200/C Hospital Junction, Galagedara.",7.3699683,80.5327324,Cargills,2/24/2025
